appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
4087924_129078,4087924,129078,1132,1132,11/08/2023,Nathan Redmond,GB1,0,0,0,0,1
4087924_177476,4087924,177476,281,281,11/08/2023,Nathan Ak\351,GB1,0,0,0,0,79
4087924_214666,4087924,214666,1132,1132,11/08/2023,Connor Roberts,GB1,0,0,0,0,90
4087924_238223,4087924,238223,281,281,11/08/2023,Ederson,GB1,0,0,0,0,90
4087924_241641,4087924,241641,281,281,11/08/2023,Bernardo Silva,GB1,0,0,0,0,90
4087924_242606,4087924,242606,1132,1132,11/08/2023,Josh Cullen,GB1,0,0,0,0,90
4087924_284730,4087924,284730,281,281,11/08/2023,Manuel Akanji,GB1,0,0,0,0,90
4087924_293281,4087924,293281,1132,1132,11/08/2023,Jacob Bruun Larsen,GB1,0,0,0,0,29
4087924_293569,4087924,293569,1132,1132,11/08/2023,Josh Brownhill,GB1,0,0,0,0,1
4087924_322702,4087924,322702,1132,1132,11/08/2023,Benson Manuel,GB1,0,0,0,0,16
4087924_333014,4087924,333014,1132,1132,11/08/2023,Sander Berge,GB1,0,0,0,0,90
4087924_357565,4087924,357565,281,281,11/08/2023,Rodri,GB1,0,0,1,1,90
4087924_401320,4087924,401320,1132,1132,11/08/2023,Dara O'Shea,GB1,0,0,0,0,90
4087924_403898,4087924,403898,1132,1132,11/08/2023,Jordan Beyer,GB1,0,0,0,0,74
4087924_406635,4087924,406635,281,281,11/08/2023,Phil Foden,GB1,0,0,0,0,90
4087924_418560,4087924,418560,281,281,11/08/2023,Erling Haaland,GB1,0,0,2,0,80
4087924_467623,4087924,467623,1132,1132,11/08/2023,Lyle Foster,GB1,0,0,0,0,90
4087924_468249,4087924,468249,1132,1132,11/08/2023,Vitinho,GB1,0,0,0,0,90
4087924_475959,4087924,475959,281,281,11/08/2023,Josko Gvardiol,GB1,0,0,0,0,11
4087924_491296,4087924,491296,1132,1132,11/08/2023,Anass Zaroury,GB1,0,1,0,0,29
4087924_51471,4087924,51471,281,281,11/08/2023,Mateo Kovacic,GB1,0,0,0,0,67
4087924_548729,4087924,548729,1132,1132,11/08/2023,Zeki Amdouni,GB1,0,0,0,0,61
4087924_566799,4087924,566799,1132,1132,11/08/2023,James Trafford,GB1,0,0,0,0,90
4087924_568177,4087924,568177,281,631,11/08/2023,Cole Palmer,GB1,0,0,0,0,10
4087924_576024,4087924,576024,281,281,11/08/2023,Juli\341n \301lvarez,GB1,0,0,0,1,90
4087924_583199,4087924,583199,281,281,11/08/2023,James McAtee,GB1,0,0,0,0,1
4087924_620598,4087924,620598,1132,1132,11/08/2023,Ameen Al-Dakhil,GB1,0,0,0,0,90
4087924_701057,4087924,701057,281,281,11/08/2023,Rico Lewis,GB1,0,0,0,0,79
4087924_745461,4087924,745461,1132,1132,11/08/2023,Luca Koleosho,GB1,0,0,0,0,61
4087924_88755,4087924,88755,281,281,11/08/2023,Kevin De Bruyne,GB1,0,0,0,0,23
4087924_95424,4087924,95424,281,281,11/08/2023,Kyle Walker,GB1,0,0,0,0,90
4087925_108725,4087925,108725,703,703,12/08/2023,Chris Wood,GB1,0,0,0,0,1
4087925_127032,4087925,127032,703,141,12/08/2023,Serge Aurier,GB1,0,0,0,0,90
4087925_142310,4087925,142310,703,703,12/08/2023,Willy Boly,GB1,0,0,0,0,90
4087925_144028,4087925,144028,11,11,12/08/2023,Leandro Trossard,GB1,0,0,0,0,17
4087925_230784,4087925,230784,11,11,12/08/2023,Thomas Partey,GB1,0,0,0,0,90
4087925_236490,4087925,236490,703,703,12/08/2023,Ola Aina,GB1,1,0,0,0,72
4087925_255906,4087925,255906,703,190,12/08/2023,Scott McKenna,GB1,0,0,0,0,90
4087925_289592,4087925,289592,703,1041,12/08/2023,Orel Mangala,GB1,1,0,0,0,90
4087925_295313,4087925,295313,703,703,12/08/2023,Taiwo Awoniyi,GB1,0,0,1,0,19
4087925_309400,4087925,309400,11,11,12/08/2023,Kai Havertz,GB1,0,0,0,0,90
4087925_316264,4087925,316264,11,11,12/08/2023,Martin \330degaard,GB1,0,0,0,0,90
4087925_331560,4087925,331560,11,11,12/08/2023,Takehiro Tomiyasu,GB1,0,0,0,0,40
4087925_335721,4087925,335721,11,11,12/08/2023,Ben White,GB1,1,0,0,0,90
4087925_340324,4087925,340324,11,11,12/08/2023,Eddie Nketiah,GB1,0,0,1,0,73
